Participant ID,Total Responses,Correct Responses,Accuracy Rate
12787624,50,33,0.66
12791573,50,20,0.4
12791972,50,38,0.76
12801489,50,21,0.42
12864651,50,0,0.0
12882521,50,42,0.84
12910210,50,29,0.58
12934635,50,23,0.46
12945937,50,42,0.84
12948811,50,30,0.6
12961369,50,14,0.28
12961523,50,28,0.56
12972910,50,21,0.42
12973999,50,36,0.72
12979195,50,36,0.72
13003684,50,31,0.62
13034911,50,33,0.66
13038034,50,38,0.76
13038495,50,32,0.64
13044800,50,38,0.76
13066762,50,41,0.82
12994286,50,25,0.5
12933564,50,39,0.78
12768973,50,33,0.66
12767722,50,42,0.84
13069458,50,32,0.64
13043413,50,27,0.54
