Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-tpgf,Randomise questionnaire elements?,Question Key,Response,randomiser-7xud,randomiser-5qjw
﻿1,1740673242789,"27/02/2025, 16:20:42",1740673242611,-5,"27/02/2025, 11:20:42",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1536x730,,ClozeTask_EN,3,Biling,No,BEGIN QUESTIONNAIRE,,,Bilinguals_group2
2,1740675578696,"27/02/2025, 16:59:38",1740675577909,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-1,His,,Bilinguals_group2
3,1740675578839,"27/02/2025, 16:59:38",1740675577913,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-2,knowledge,,Bilinguals_group2
4,1740675578839,"27/02/2025, 16:59:38",1740675577913,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-3,to,,Bilinguals_group2
5,1740675578839,"27/02/2025, 16:59:38",1740675577913,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-4,he,,Bilinguals_group2
6,1740675578839,"27/02/2025, 16:59:38",1740675577914,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-5,on,,Bilinguals_group2
7,1740675578839,"27/02/2025, 16:59:38",1740675577914,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-6,been,,Bilinguals_group2
8,1740675578839,"27/02/2025, 16:59:38",1740675577914,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-7,X,,Bilinguals_group2
9,1740675578839,"27/02/2025, 16:59:38",1740675577914,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-8,in,,Bilinguals_group2
10,1740675578839,"27/02/2025, 16:59:38",1740675577914,-5,"27/02/2025, 11:59:37",127065,6,questionnaire-g515,,43895528,12787624,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 133.0.0.0,1536x864,1519x730,,ClozeTask_EN,3,Biling,No,cloze-input-9,that,,Bilinguals_group2
