Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-tpgf,randomiser-7xud,randomiser-5qjw,Randomise questionnaire elements?,Question Key,Response,Accuracy
1,1.72616E+12,12/09/2024 15:34:50,1.72616E+12,-4,12/09/2024 11:34:50,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,BEGIN QUESTIONNAIRE,,
2,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-1,his,0
3,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-2,skills,1
4,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-3,to ,1
5,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-4,he,1
6,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-5,on,1
7,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-6,been,1
8,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-7,x,0
9,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-8,in,1
10,1.72616E+12,12/09/2024 15:40:11,1.72616E+12,-4,12/09/2024 11:40:11,127065,4,questionnaire-g515,,40027290,BLIND,11696379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,,ClozeTask_EN,3,Biling,,Bilinguals_group2,No,cloze-input-9,x,0
